game_id,ww1,ww2,seer,doctor,v1,v2,v3,v4,status,winner,rounds
1,Baseline,Reflection,ReAct,ToT,Baseline2,Reflection2,ReAct2,ToT2,done,village,3
2,Baseline,Reflection,ReAct,Baseline2,ToT,Reflection2,ReAct2,ToT2,done,werewolf,3
3,Baseline,Reflection,ReAct,Reflection2,ToT,Baseline2,ReAct2,ToT2,done,village,2
4,Baseline,Reflection,ReAct,ReAct2,ToT,Baseline2,Reflection2,ToT2,done,werewolf,2
5,Baseline,Reflection,ReAct,ToT2,ToT,Baseline2,Reflection2,ReAct2,done,village,2
6,Baseline,Reflection,ToT,ReAct,Baseline2,Reflection2,ReAct2,ToT2,done,werewolf,3
7,Baseline,Reflection,ToT,Baseline2,ReAct,Reflection2,ReAct2,ToT2,done,werewolf,3
8,Baseline,Reflection,ToT,Reflection2,ReAct,Baseline2,ReAct2,ToT2,done,werewolf,2
9,Baseline,Reflection,ToT,ReAct2,ReAct,Baseline2,Reflection2,ToT2,done,werewolf,3
10,Baseline,Reflection,ToT,ToT2,ReAct,Baseline2,Reflection2,ReAct2,done,werewolf,3
11,Baseline,Reflection,Baseline2,ReAct,ToT,Reflection2,ReAct2,ToT2,done,village,3
12,Baseline,Reflection,Baseline2,ToT,ReAct,Reflection2,ReAct2,ToT2,done,werewolf,3
13,Baseline,Reflection,Baseline2,Reflection2,ReAct,ToT,ReAct2,ToT2,done,werewolf,3
14,Baseline,Reflection,Baseline2,ReAct2,ReAct,ToT,Reflection2,ToT2,done,werewolf,3
15,Baseline,Reflection,Baseline2,ToT2,ReAct,ToT,Reflection2,ReAct2,pending,,
16,Baseline,Reflection,Reflection2,ReAct,ToT,Baseline2,ReAct2,ToT2,pending,,
17,Baseline,Reflection,Reflection2,ToT,ReAct,Baseline2,ReAct2,ToT2,pending,,
18,Baseline,Reflection,Reflection2,Baseline2,ReAct,ToT,ReAct2,ToT2,pending,,
19,Baseline,Reflection,Reflection2,ReAct2,ReAct,ToT,Baseline2,ToT2,pending,,
20,Baseline,Reflection,Reflection2,ToT2,ReAct,ToT,Baseline2,ReAct2,pending,,
21,Baseline,Reflection,ReAct2,ReAct,ToT,Baseline2,Reflection2,ToT2,pending,,
22,Baseline,Reflection,ReAct2,ToT,ReAct,Baseline2,Reflection2,ToT2,pending,,
23,Baseline,Reflection,ReAct2,Baseline2,ReAct,ToT,Reflection2,ToT2,pending,,
24,Baseline,Reflection,ReAct2,Reflection2,ReAct,ToT,Baseline2,ToT2,pending,,
25,Baseline,Reflection,ReAct2,ToT2,ReAct,ToT,Baseline2,Reflection2,pending,,
26,Baseline,Reflection,ToT2,ReAct,ToT,Baseline2,Reflection2,ReAct2,pending,,
27,Baseline,Reflection,ToT2,ToT,ReAct,Baseline2,Reflection2,ReAct2,pending,,
28,Baseline,Reflection,ToT2,Baseline2,ReAct,ToT,Reflection2,ReAct2,pending,,
29,Baseline,Reflection,ToT2,Reflection2,ReAct,ToT,Baseline2,ReAct2,pending,,
30,Baseline,Reflection,ToT2,ReAct2,ReAct,ToT,Baseline2,Reflection2,pending,,
31,Baseline,ReAct,Reflection,ToT,Baseline2,Reflection2,ReAct2,ToT2,pending,,
32,Baseline,ReAct,Reflection,Baseline2,ToT,Reflection2,ReAct2,ToT2,pending,,
33,Baseline,ReAct,Reflection,Reflection2,ToT,Baseline2,ReAct2,ToT2,pending,,
34,Baseline,ReAct,Reflection,ReAct2,ToT,Baseline2,Reflection2,ToT2,pending,,
35,Baseline,ReAct,Reflection,ToT2,ToT,Baseline2,Reflection2,ReAct2,pending,,
36,Baseline,ReAct,ToT,Reflection,Baseline2,Reflection2,ReAct2,ToT2,pending,,
37,Baseline,ReAct,ToT,Baseline2,Reflection,Reflection2,ReAct2,ToT2,pending,,
38,Baseline,ReAct,ToT,Reflection2,Reflection,Baseline2,ReAct2,ToT2,pending,,
39,Baseline,ReAct,ToT,ReAct2,Reflection,Baseline2,Reflection2,ToT2,pending,,
40,Baseline,ReAct,ToT,ToT2,Reflection,Baseline2,Reflection2,ReAct2,pending,,
41,Baseline,ReAct,Baseline2,Reflection,ToT,Reflection2,ReAct2,ToT2,pending,,
42,Baseline,ReAct,Baseline2,ToT,Reflection,Reflection2,ReAct2,ToT2,pending,,
43,Baseline,ReAct,Baseline2,Reflection2,Reflection,ToT,ReAct2,ToT2,pending,,
44,Baseline,ReAct,Baseline2,ReAct2,Reflection,ToT,Reflection2,ToT2,pending,,
45,Baseline,ReAct,Baseline2,ToT2,Reflection,ToT,Reflection2,ReAct2,pending,,
46,Baseline,ReAct,Reflection2,Reflection,ToT,Baseline2,ReAct2,ToT2,pending,,
47,Baseline,ReAct,Reflection2,ToT,Reflection,Baseline2,ReAct2,ToT2,pending,,
48,Baseline,ReAct,Reflection2,Baseline2,Reflection,ToT,ReAct2,ToT2,pending,,
49,Baseline,ReAct,Reflection2,ReAct2,Reflection,ToT,Baseline2,ToT2,pending,,
50,Baseline,ReAct,Reflection2,ToT2,Reflection,ToT,Baseline2,ReAct2,pending,,
51,Baseline,ReAct,ReAct2,Reflection,ToT,Baseline2,Reflection2,ToT2,pending,,
52,Baseline,ReAct,ReAct2,ToT,Reflection,Baseline2,Reflection2,ToT2,pending,,
53,Baseline,ReAct,ReAct2,Baseline2,Reflection,ToT,Reflection2,ToT2,pending,,
54,Baseline,ReAct,ReAct2,Reflection2,Reflection,ToT,Baseline2,ToT2,pending,,
55,Baseline,ReAct,ReAct2,ToT2,Reflection,ToT,Baseline2,Reflection2,pending,,
56,Baseline,ReAct,ToT2,Reflection,ToT,Baseline2,Reflection2,ReAct2,pending,,
57,Baseline,ReAct,ToT2,ToT,Reflection,Baseline2,Reflection2,ReAct2,pending,,
58,Baseline,ReAct,ToT2,Baseline2,Reflection,ToT,Reflection2,ReAct2,pending,,
59,Baseline,ReAct,ToT2,Reflection2,Reflection,ToT,Baseline2,ReAct2,pending,,
60,Baseline,ReAct,ToT2,ReAct2,Reflection,ToT,Baseline2,Reflection2,pending,,
61,Baseline,ToT,Reflection,ReAct,Baseline2,Reflection2,ReAct2,ToT2,pending,,
62,Baseline,ToT,Reflection,Baseline2,ReAct,Reflection2,ReAct2,ToT2,pending,,
63,Baseline,ToT,Reflection,Reflection2,ReAct,Baseline2,ReAct2,ToT2,pending,,
64,Baseline,ToT,Reflection,ReAct2,ReAct,Baseline2,Reflection2,ToT2,pending,,
65,Baseline,ToT,Reflection,ToT2,ReAct,Baseline2,Reflection2,ReAct2,pending,,
66,Baseline,ToT,ReAct,Reflection,Baseline2,Reflection2,ReAct2,ToT2,pending,,
67,Baseline,ToT,ReAct,Baseline2,Reflection,Reflection2,ReAct2,ToT2,pending,,
68,Baseline,ToT,ReAct,Reflection2,Reflection,Baseline2,ReAct2,ToT2,pending,,
69,Baseline,ToT,ReAct,ReAct2,Reflection,Baseline2,Reflection2,ToT2,pending,,
70,Baseline,ToT,ReAct,ToT2,Reflection,Baseline2,Reflection2,ReAct2,pending,,
71,Baseline,ToT,Baseline2,Reflection,ReAct,Reflection2,ReAct2,ToT2,pending,,
72,Baseline,ToT,Baseline2,ReAct,Reflection,Reflection2,ReAct2,ToT2,pending,,
73,Baseline,ToT,Baseline2,Reflection2,Reflection,ReAct,ReAct2,ToT2,pending,,
74,Baseline,ToT,Baseline2,ReAct2,Reflection,ReAct,Reflection2,ToT2,pending,,
75,Baseline,ToT,Baseline2,ToT2,Reflection,ReAct,Reflection2,ReAct2,pending,,
